junction_id,latitude,longitude,governorate,ways_count,tier,junction_idx,junction_type,road_name
J_0001,30.0453573,31.244022,Cairo,5,1,0,real,
J_0002,30.022537,31.2303866,Cairo,5,1,1,real,
J_0003,30.0493725,31.2466599,Cairo,4,1,2,real,
J_0004,30.0903701,31.319976,Cairo,4,1,3,real,
J_0005,30.0449001,31.2464579,Cairo,4,1,4,real,
J_0006,30.073322,31.2846745,Cairo,4,1,5,real,
J_0007,30.1086663,31.2808859,Cairo,4,1,6,real,
J_0008,30.0979997,31.2453324,Cairo,4,1,7,real,
J_0009,30.0905051,31.3198678,Cairo,4,1,8,real,
J_0010,30.0512369,31.2424019,Cairo,4,1,9,real,
J_0011,30.0247079,31.2305818,Cairo,4,1,10,real,
J_0012,30.0288496,31.2335688,Cairo,4,1,11,real,
J_0013,30.0571737,31.2377069,Cairo,4,1,12,real,
J_0014,30.0181177,31.2513671,Cairo,4,1,13,real,
J_0015,30.1010114,31.2802257,Cairo,4,1,14,real,
J_0016,30.0876712,31.2901849,Cairo,4,1,15,real,
J_0017,30.0347804,31.2375231,Cairo,4,1,16,real,
J_0018,30.0506866,31.3118687,Cairo,4,1,17,real,
J_0019,29.8506216,31.2514037,Cairo,4,1,18,real,
J_0020,30.1772638,31.4158091,Cairo,4,1,19,real,
J_0021,29.8509045,31.2411471,Cairo,4,1,20,real,
J_0022,30.2326671,31.2765928,Cairo,4,1,21,real,
J_0023,30.0181514,31.4482181,Cairo,4,1,22,real,
J_0024,29.9748751,31.4377201,Cairo,4,1,23,real,
J_0025,30.0935789,31.283556,Cairo,4,1,24,real,
J_0026,30.1113377,31.3886869,Cairo,4,1,25,real,
J_0027,30.0368138,31.3550204,Cairo,4,1,26,real,
J_0028,30.095606,31.6346413,Cairo,4,1,27,real,
J_0029,30.0506877,31.312045,Cairo,4,1,28,real,
J_0030,30.0736751,31.2847849,Cairo,4,1,29,real,
J_0031,30.0505325,31.3120403,Cairo,4,1,30,real,
J_0032,30.0666229,31.4561735,Cairo,4,1,31,real,
J_0033,30.1244697,31.3998304,Cairo,4,1,32,real,
J_0034,30.0737741,31.2851554,Cairo,4,1,33,real,
J_0035,30.063559,31.4328837,Cairo,4,1,34,real,
J_0036,30.0020474,31.4158846,Cairo,4,1,35,real,
J_0037,30.0505346,31.3118556,Cairo,4,1,36,real,
J_0038,30.0903004,31.3198574,Cairo,4,1,37,real,
J_0039,30.0640828,31.2728924,Cairo,4,1,38,real,
J_0040,30.0753067,31.2730472,Cairo,4,1,39,real,
J_0041,30.1342984,31.3746881,Cairo,4,1,40,real,
J_0042,30.2030936,31.3550324,Cairo,4,1,41,real,
J_0043,30.0904351,31.3197504,Cairo,4,1,42,real,
J_0044,30.051121,31.246749,Cairo,4,1,43,real,
J_0045,30.0931009,31.3379299,Cairo,3,1,44,real,
J_0046,30.0852945,31.3242304,Cairo,3,1,45,real,
J_0047,30.12414,31.3980161,Cairo,3,1,46,real,
J_0048,30.1053937,31.3435566,Cairo,3,1,47,real,
J_0049,30.0993995,31.3428578,Cairo,3,1,48,real,
J_0050,30.0947944,31.3257428,Cairo,3,1,49,real,
J_0051,30.0853014,31.3244893,Cairo,3,1,50,real,
J_0052,30.0929804,31.3383412,Cairo,3,1,51,real,
J_0053,30.1054073,31.3440652,Cairo,3,1,52,real,
J_0054,30.1186612,31.3557008,Cairo,3,1,53,real,
J_0055,30.0180338,31.2517122,Cairo,3,1,54,real,
J_0056,30.1006689,31.3435346,Cairo,3,1,55,real,
J_0057,30.0931816,31.3152888,Cairo,3,1,56,real,
J_0058,30.0475614,31.2384661,Cairo,3,1,57,real,
J_0059,30.047595,31.2384287,Cairo,3,1,58,real,
J_0060,30.0461817,31.2349957,Cairo,3,1,59,real,
J_0061,30.0501479,31.2312394,Cairo,3,1,60,real,
J_0062,30.05244,31.2466166,Cairo,3,1,61,real,
J_0063,30.0525462,31.2443083,Cairo,3,1,62,real,
J_0064,30.0535014,31.2388378,Cairo,3,1,63,real,
J_0065,30.0745426,31.2830974,Cairo,3,1,64,real,
J_0066,30.1005145,31.3436553,Cairo,3,1,65,real,
J_0067,30.1030443,31.3481154,Cairo,3,1,66,real,
J_0068,30.103124,31.3478406,Cairo,3,1,67,real,
J_0069,29.9596544,31.268841,Cairo,3,1,68,real,
J_0070,30.0932865,31.315078,Cairo,3,1,69,real,
J_0071,30.0848985,31.323511,Cairo,3,1,70,real,
J_0072,30.0310012,31.2570562,Cairo,3,1,71,real,
J_0073,30.0299467,31.2487096,Cairo,3,1,72,real,
J_0074,30.0328229,31.2459589,Cairo,3,1,73,real,
J_0075,30.0923338,31.3267861,Cairo,3,1,74,real,
J_0076,30.0920244,31.3291321,Cairo,3,1,75,real,
J_0077,30.0446904,31.3401034,Cairo,3,1,76,real,
J_0078,30.0956662,31.3106866,Cairo,3,1,77,real,
J_0079,30.0931594,31.3150137,Cairo,3,1,78,real,
J_0080,30.0989925,31.30744,Cairo,3,1,79,real,
J_0081,30.1017775,31.3058024,Cairo,3,1,80,real,
J_0082,30.1237898,31.2431483,Cairo,3,1,81,real,
J_0083,30.1031824,31.2559306,Cairo,3,1,82,real,
J_0084,30.0804706,31.3593781,Cairo,3,1,83,real,
J_0085,30.0853141,31.3475935,Cairo,3,1,84,real,
J_0086,30.0920021,31.3441353,Cairo,3,1,85,real,
