junction_id,latitude,longitude,governorate,ways_count,tier,junction_idx
J_0001,30.0453573,31.244022,Cairo,5,1,0
J_0002,30.022537,31.2303866,Cairo,5,1,1
J_0003,30.0493725,31.2466599,Cairo,4,1,2
J_0004,30.0903701,31.319976,Cairo,4,1,3
J_0005,30.0449001,31.2464579,Cairo,4,1,4
J_0006,30.073322,31.2846745,Cairo,4,1,5
J_0007,30.1086663,31.2808859,Cairo,4,1,6
J_0008,30.0979997,31.2453324,Cairo,4,1,7
J_0009,30.0905051,31.3198678,Cairo,4,1,8
J_0010,30.0512369,31.2424019,Cairo,4,1,9
J_0011,30.0247079,31.2305818,Cairo,4,1,10
J_0012,30.0288496,31.2335688,Cairo,4,1,11
J_0013,30.0571737,31.2377069,Cairo,4,1,12
J_0014,30.0181177,31.2513671,Cairo,4,1,13
J_0015,30.1010114,31.2802257,Cairo,4,1,14
J_0016,30.0876712,31.2901849,Cairo,4,1,15
J_0017,30.0347804,31.2375231,Cairo,4,1,16
J_0018,30.0506866,31.3118687,Cairo,4,1,17
J_0019,29.8506216,31.2514037,Cairo,4,1,18
J_0020,30.1772638,31.4158091,Cairo,4,1,19
J_0021,29.8509045,31.2411471,Cairo,4,1,20
J_0022,30.2326671,31.2765928,Cairo,4,1,21
J_0023,30.0181514,31.4482181,Cairo,4,1,22
J_0024,29.9748751,31.4377201,Cairo,4,1,23
J_0025,30.0935789,31.283556,Cairo,4,1,24
J_0026,30.1113377,31.3886869,Cairo,4,1,25
J_0027,30.0368138,31.3550204,Cairo,4,1,26
J_0028,30.095606,31.6346413,Cairo,4,1,27
J_0029,30.0506877,31.312045,Cairo,4,1,28
J_0030,30.0736751,31.2847849,Cairo,4,1,29
J_0031,30.0505325,31.3120403,Cairo,4,1,30
J_0032,30.0666229,31.4561735,Cairo,4,1,31
J_0033,30.1244697,31.3998304,Cairo,4,1,32
J_0034,30.0737741,31.2851554,Cairo,4,1,33
J_0035,30.063559,31.4328837,Cairo,4,1,34
J_0036,30.0020474,31.4158846,Cairo,4,1,35
J_0037,30.0505346,31.3118556,Cairo,4,1,36
J_0038,30.0903004,31.3198574,Cairo,4,1,37
J_0039,30.0640828,31.2728924,Cairo,4,1,38
J_0040,30.0753067,31.2730472,Cairo,4,1,39
J_0041,30.1342984,31.3746881,Cairo,4,1,40
J_0042,30.2030936,31.3550324,Cairo,4,1,41
J_0043,30.0904351,31.3197504,Cairo,4,1,42
J_0044,30.051121,31.246749,Cairo,4,1,43
J_0045,30.0931009,31.3379299,Cairo,3,1,44
J_0046,30.0852945,31.3242304,Cairo,3,1,45
J_0047,30.12414,31.3980161,Cairo,3,1,46
J_0048,30.1053937,31.3435566,Cairo,3,1,47
J_0049,30.0993995,31.3428578,Cairo,3,1,48
J_0050,30.0947944,31.3257428,Cairo,3,1,49
J_0051,30.0853014,31.3244893,Cairo,3,1,50
J_0052,30.0929804,31.3383412,Cairo,3,1,51
J_0053,30.1054073,31.3440652,Cairo,3,1,52
J_0054,30.1186612,31.3557008,Cairo,3,1,53
J_0055,30.0180338,31.2517122,Cairo,3,1,54
J_0056,30.1006689,31.3435346,Cairo,3,1,55
J_0057,30.0931816,31.3152888,Cairo,3,1,56
J_0058,30.0475614,31.2384661,Cairo,3,1,57
J_0059,30.047595,31.2384287,Cairo,3,1,58
J_0060,30.0461817,31.2349957,Cairo,3,1,59
J_0061,30.0501479,31.2312394,Cairo,3,1,60
J_0062,30.05244,31.2466166,Cairo,3,1,61
J_0063,30.0525462,31.2443083,Cairo,3,1,62
J_0064,30.0535014,31.2388378,Cairo,3,1,63
J_0065,30.0745426,31.2830974,Cairo,3,1,64
J_0066,30.1005145,31.3436553,Cairo,3,1,65
J_0067,30.1030443,31.3481154,Cairo,3,1,66
J_0068,30.103124,31.3478406,Cairo,3,1,67
J_0069,29.9596544,31.268841,Cairo,3,1,68
J_0070,30.0932865,31.315078,Cairo,3,1,69
J_0071,30.0848985,31.323511,Cairo,3,1,70
J_0072,30.0310012,31.2570562,Cairo,3,1,71
J_0073,30.0299467,31.2487096,Cairo,3,1,72
J_0074,30.0328229,31.2459589,Cairo,3,1,73
J_0075,30.0923338,31.3267861,Cairo,3,1,74
